Material Name,Density (g/cc),Melting Point (°C),Specific Heat (J/g-°C),Thermal Cond. (W/m-K),CTE (µm/m-°C),Flash Point (°C),Autoignition Temp (°C),UL94 Flammability,Limiting Oxygen Index (%),Smoke Density (Ds),Char Yield (%),Decomp. Temp (°C),Heat of Combustion (MJ/kg),Flame Spread Index,descriptor_count_used,Base_Resistance_Target
Lead Titanate (PbTiO3),7.52,1281.0,0.35,2.5,12.5,,,Non,0.0,0.0,0.0,1281.0,0.0,0.0,7,0.5639487783271937
Lead Tungstate (PWO) Crystal,8.28,1123.0,0.25,2.0,10.0,,,Non,0.0,0.0,0.0,1123.0,0.0,0.0,7,0.5533418987283171
Lead Zirconate (PbZrO3),8.25,1570.0,0.3,2.0,9.0,,,Non,0.0,0.0,0.0,1570.0,0.0,0.0,7,0.5833499694922274
Lead Zirconate Titanate (PZT),7.5,1200.0,0.35,1.5,4.5,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0,7,0.5585110742290355
Lead-Antimony Alloy,11.0,250.0,0.13,28.0,27.0,,,Non,0.0,0.0,0.0,250.0,0.0,0.0,7,0.4947355323370561
Lead-Free Solder (SAC305),7.37,217.0,0.23,58.0,22.0,,,Non,0.0,0.0,0.0,217.0,0.0,0.0,7,0.4925201714081768
Leather (Chrome Tanned),0.95,,1.5,0.15,,,,HB,28.0,100.0,35.0,250.0,20.0,80.0,6,0.568981559613177
Lignite Coal,1.1,,1.5,0.18,,,350.0,HB,19.0,500.0,45.0,400.0,22.0,250.0,7,0.4428706712491966
Limestone (Dense),2.55,,0.9,1.8,7.5,,,Non,0.0,0.0,0.0,825.0,0.0,0.0,6,0.579805964532533
Linoleum Flooring,1.2,,1.5,0.17,120.0,,,HB,22.0,150.0,20.0,250.0,20.0,150.0,6,0.5240826625543534
Linseed Oil (Raw),0.93,,1.85,0.15,,220.0,340.0,HB,16.0,600.0,5.0,300.0,38.0,350.0,8,0.39470372540397874
Liquid Crystal Polymer (High Temp),1.7,350.0,1.0,0.5,4.0,550.0,570.0,V-0,52.0,5.0,55.0,560.0,23.0,5.0,9,0.6321875238229985
Liquid Crystal Polymer (LCP),1.605,330.0,1.05,0.425,5.0,540.0,550.0,V-0,45.0,27.5,50.0,540.0,28.0,5.0,9,0.6157799253410798
Lithium,0.53,180.0,3.58,85.0,46.0,,179.0,HB,0.0,0.0,0.0,1342.0,43.0,300.0,8,0.4107197398133411
Lithium (Metal),0.53,181.0,3.58,85.0,46.0,,179.0,Non,0.0,0.0,0.0,1342.0,0.0,0.0,8,0.4891147750865398
Lithium Aluminate,2.61,1625.0,1.15,3.0,12.0,,,Non,0.0,0.0,0.0,1625.0,0.0,0.0,7,0.5870422377070262
Lithium Alumino Silicate (Petalite),2.42,1350.0,1.1,1.4,0.5,,,Non,0.0,0.0,0.0,1350.0,0.0,0.0,7,0.5685808966330322
Lithium Alumino Silicate (Spodumene),2.64,1423.0,1.1,1.5,1.0,,,Non,0.0,0.0,0.0,1423.0,0.0,0.0,7,0.5734815435363106
Lithium Aluminum Silicate,2.4,1350.0,0.8,1.5,0.5,,,Non,0.0,0.0,0.0,1350.0,0.0,0.0,7,0.5685808966330322
Lithium Bromide,3.46,550.0,0.65,1.2,50.0,,,Non,0.0,0.0,0.0,550.0,0.0,0.0,7,0.5148751771450496
Lithium Carbonate,2.11,723.0,1.35,0.6,35.0,,,Non,0.0,0.0,0.0,723.0,0.0,0.0,7,0.5264890389843259
Lithium Chloride,2.07,605.0,1.15,1.5,45.0,,,Non,0.0,0.0,0.0,605.0,0.0,0.0,7,0.5185674453598483
Lithium Ferrite (Li0.5Fe2.5O4),4.75,1520.0,0.85,4.2,13.0,,,Non,0.0,0.0,0.0,1520.0,0.0,0.0,7,0.5799933620242285
Lithium Fluoride,2.64,845.0,1.55,11.3,37.0,,,Non,0.0,0.0,0.0,845.0,0.0,0.0,7,0.5346791612062431
Lithium Fluoride Crystal,2.64,845.0,1.55,11.3,37.0,,,Non,0.0,0.0,0.0,845.0,0.0,0.0,7,0.5346791612062431
Lithium Hydride,0.78,688.0,4.2,4.2,35.0,,,Non,0.0,0.0,0.0,688.0,0.0,0.0,7,0.5241394137567266
Lithium Iodide,4.08,449.0,0.5,1.0,60.0,,,Non,0.0,0.0,0.0,449.0,0.0,0.0,7,0.5080948300596917
Lithium Niobate,4.64,1257.0,0.65,4.5,15.0,,,Non,0.0,0.0,0.0,1257.0,0.0,0.0,7,0.5623376067425542
Lithium Niobate Crystal,4.64,1253.0,0.63,4.6,15.0,,,Non,0.0,0.0,0.0,1253.0,0.0,0.0,7,0.5620690781451143
Lithium Nitrate,2.38,264.0,1.4,0.6,45.0,,,Non,0.0,0.0,0.0,600.0,0.0,0.0,7,0.5069615333803648
Lithium Phosphide,1.43,,1.8,0.4,,,,Non,0.0,0.0,0.0,700.0,0.0,0.0,6,0.574907461515055
Lithium Silicate (Li2SiO3),2.52,1201.0,1.15,1.2,11.0,,,Non,0.0,0.0,0.0,1201.0,0.0,0.0,7,0.5585782063783954
Lithium Tantalate,7.45,1650.0,0.45,4.0,16.1,,,Non,0.0,0.0,0.0,1650.0,0.0,0.0,7,0.5887205414410257
Lithium Tantalate Crystal,7.45,1650.0,0.42,4.2,16.0,,,Non,0.0,0.0,0.0,1650.0,0.0,0.0,7,0.5887205414410257
Low-E Coated Glass,2.5,,0.84,0.9,9.0,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0,6,0.5866638687570019
Lutetia (Lu2O3),9.42,2490.0,0.15,12.0,8.2,,,Non,0.0,0.0,0.0,2490.0,0.0,0.0,7,0.6451115469034076
Lutetium (Pure),9.84,1663.0,0.15,16.0,9.9,,,Non,0.0,0.0,0.0,1663.0,0.0,0.0,7,0.5895932593827055
Lutetium Boride (LuB6),6.75,1950.0,0.32,48.0,6.2,,,Non,0.0,0.0,0.0,1950.0,0.0,0.0,7,0.6088601862490192
Lutetium Hexaboride (LuB6),6.65,2355.0,0.3,21.0,9.8,,,Non,0.0,0.0,0.0,2355.0,0.0,0.0,7,0.6360487067398104
Lutetium Hydride,9.15,1000.0,0.2,6.0,8.8,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0,7,0.5450846443570397
Lutetium Iron Garnet (LuIG),7.25,1545.0,0.28,5.6,9.5,,,Non,0.0,0.0,0.0,1545.0,0.0,0.0,7,0.581671665758228
Lutetium Oxide (Lu2O3),9.42,2490.0,0.25,12.0,8.5,,,Non,0.0,0.0,0.0,2490.0,0.0,0.0,7,0.6451115469034076
Lutetium Oxyorthosilicate (LSO),7.4,2050.0,0.3,4.5,9.0,,,Non,0.0,0.0,0.0,2050.0,0.0,0.0,7,0.615573401185017
Lutetium Silicide,9.25,950.0,0.12,12.0,8.0,,,Non,0.0,0.0,0.0,950.0,0.0,0.0,7,0.5417280368890409
Lutetium Yttrium Orthosilicate (LYSO),7.1,2000.0,0.32,4.0,9.5,,,Non,0.0,0.0,0.0,2000.0,0.0,0.0,7,0.6122167937170182
MBS (Methacrylate Butadiene Styrene),1.1,,1.45,0.16,100.0,,420.0,HB,18.0,550.0,5.0,260.0,34.0,280.0,7,0.4247588643364514
MDF (Medium Density Fiberboard),0.75,,1.45,0.11,5.0,230.0,340.0,HB,26.0,110.0,28.0,260.0,20.0,180.0,8,0.5120164420480713
MP159,8.33,1315.0,0.48,11.5,13.5,,,Non,0.0,0.0,0.0,1315.0,0.0,0.0,7,0.566231271405433
MP35N,8.43,1315.0,0.5,11.2,12.8,,,Non,0.0,0.0,0.0,1315.0,0.0,0.0,7,0.566231271405433
Magnesia (Polycrystalline),3.58,2852.0,1.03,40.0,13.5,,,Non,0.0,0.0,0.0,2852.0,0.0,0.0,7,0.6694133849717196
Magnesia Fiber,3.58,2800.0,0.95,30.0,13.5,,,Non,0.0,0.0,0.0,2800.0,0.0,0.0,7,0.6659225132050007
Magnesia-Chrome Brick,3.1,2100.0,1.0,2.5,12.0,,,Non,0.0,0.0,0.0,2100.0,0.0,0.0,7,0.618930008653016
Magnesium (99.9%),1.74,650.0,1.02,156.0,25.0,,473.0,HB,0.0,0.0,0.0,650.0,24.0,240.0,8,0.46901789978910513
Magnesium (AZ31B),1.77,630.0,1.02,96.0,26.0,,450.0,Non,0.0,0.0,0.0,630.0,25.0,0.0,8,0.5239819206789144
Magnesium AM60B,1.8,540.0,1.02,62.0,26.0,,480.0,HB,0.0,0.0,0.0,540.0,24.0,205.0,8,0.472457746202681
Magnesium AZ31B,1.77,482.0,1.02,96.0,26.0,,473.0,HB,0.0,0.0,0.0,482.0,25.0,200.0,8,0.46907120207363917
Magnesium AZ61A,1.8,525.0,1.02,80.0,26.0,,465.0,HB,0.0,0.0,0.0,525.0,24.5,210.0,8,0.4678203955993988
Magnesium AZ80A,1.8,490.0,1.02,77.0,26.0,,470.0,HB,0.0,0.0,0.0,490.0,24.0,210.0,8,0.4666259778260766
Magnesium AZ91D,1.81,427.0,1.05,72.0,26.0,,450.0,HB,0.0,0.0,0.0,427.0,24.0,220.0,8,0.4571358444083973
Magnesium Aluminate (Spinel),3.58,2135.0,0.85,15.0,7.5,,,Non,0.0,0.0,0.0,2135.0,0.0,0.0,7,0.6212796338806152
Magnesium Alumino Silicate (Cordierite),2.51,1460.0,0.85,3.0,1.5,,,Non,0.0,0.0,0.0,1460.0,0.0,0.0,7,0.5759654330626299
Magnesium Bromide,3.72,711.0,0.55,1.8,25.0,,,Non,0.0,0.0,0.0,711.0,0.0,0.0,7,0.525683453192006
Magnesium Carbonate (Magnesite),2.96,,1.05,3.5,15.0,,,Non,0.0,0.0,0.0,350.0,0.0,0.0,6,0.5611916530661171
Magnesium Chloride,2.32,714.0,0.75,2.5,28.0,,,Non,0.0,0.0,0.0,714.0,0.0,0.0,7,0.525884849640086
Magnesium Diboride (MgB2),2.55,830.0,1.1,40.0,9.0,,,Non,0.0,0.0,0.0,830.0,0.0,0.0,7,0.5336721789658435
Magnesium Ferrite (MgFe2O4),4.51,1750.0,0.75,4.5,12.0,,,Non,0.0,0.0,0.0,1750.0,0.0,0.0,7,0.5954337563770234
Magnesium Fluoride,3.15,1263.0,1.0,15.0,13.7,,,Non,0.0,0.0,0.0,1263.0,0.0,0.0,7,0.5627403996387141
Magnesium Fluoride Crystal,3.15,1263.0,1.0,15.0,13.7,,,Non,0.0,0.0,0.0,1263.0,0.0,0.0,7,0.5627403996387141
Magnesium Hydride,1.45,327.0,1.25,5.5,25.0,,,Non,0.0,0.0,0.0,327.0,0.0,0.0,7,0.4999047078377744
Magnesium Iodide,4.43,637.0,0.45,1.5,35.0,,,Non,0.0,0.0,0.0,637.0,0.0,0.0,7,0.5207156741393677
Magnesium Nitrate,2.3,,0.95,0.8,28.0,,,Non,0.0,0.0,0.0,330.0,0.0,0.0,6,0.5604078925833206
Magnesium Oxide,3.58,2852.0,1.0,45.0,13.0,,,Non,0.0,0.0,0.0,2852.0,0.0,0.0,7,0.6694133849717196
Magnesium Oxide (Single Crystal),3.58,2850.0,0.95,45.0,13.0,,,Non,0.0,0.0,0.0,2850.0,0.0,0.0,7,0.6692791206729998
Magnesium Oxide Board (MgO),1.1,,1.15,0.22,5.5,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0,6,0.5945014735849665
Magnesium Oxychloride Cement,1.9,,1.2,0.5,15.0,,,Non,0.0,0.0,0.0,450.0,0.0,0.0,6,0.5651104554800993
Magnesium Phosphide,2.06,,0.85,0.4,,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0,6,0.5866638687570019
Magnesium Powder,1.74,650.0,1.02,156.0,25.0,,473.0,Non,0.0,0.0,0.0,650.0,25.0,0.0,8,0.5289396280295561
Magnesium Silicate (Enstatite),3.2,1557.0,0.85,3.0,9.5,,,Non,0.0,0.0,0.0,1557.0,0.0,0.0,7,0.5824772515505477
Magnesium Silicate (Forsterite),3.27,1890.0,0.85,3.5,11.0,,,Non,0.0,0.0,0.0,1890.0,0.0,0.0,7,0.6048322572874205
Magnesium Silicide,1.99,1085.0,1.05,12.0,14.5,,,Non,0.0,0.0,0.0,1085.0,0.0,0.0,7,0.550790877052638
Magnesium Silicide (Mg2Si),1.99,1085.0,1.05,12.0,14.5,,,Non,0.0,0.0,0.0,1085.0,0.0,0.0,7,0.550790877052638
Magnesium Stannate (MgSnO3),4.85,1850.0,0.75,3.5,10.0,,,Non,0.0,0.0,0.0,1850.0,0.0,0.0,7,0.6021469713130214
Magnesium Titanate (MgTiO3),3.89,1650.0,0.9,4.5,9.0,,,Non,0.0,0.0,0.0,1650.0,0.0,0.0,7,0.5887205414410257
Magnesium ZK60A,1.83,540.0,1.05,120.0,26.0,,480.0,HB,0.0,0.0,0.0,540.0,24.0,205.0,8,0.472457746202681
Magnesium Zirconate (MgZrO3),4.25,2150.0,0.75,3.5,10.0,,,Non,0.0,0.0,0.0,2150.0,0.0,0.0,7,0.6222866161210149
Magnesium-Thorium Alloy,1.85,550.0,1.05,110.0,25.0,,500.0,HB,0.0,0.0,0.0,550.0,24.0,190.0,8,0.4800846261937913
Maleic Anhydride,1.48,53.0,1.25,0.14,102.0,477.0,,,,20.0,202.0,13.9,,,5,0.48255097207851244
Malleable Iron,7.3,1200.0,0.5,30.0,12.0,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0,7,0.5585110742290355
Manganese,7.21,1246.0,0.48,7.8,21.7,,,Non,0.0,0.0,0.0,1246.0,0.0,0.0,7,0.5615991530995944
Manganese (Pure),7.21,1246.0,0.48,7.8,21.7,,,Non,0.0,0.0,0.0,1246.0,0.0,0.0,7,0.5615991530995944
Manganese Alumino Silicate (Spessartine),4.19,1200.0,0.65,5.0,8.0,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0,7,0.5585110742290355
Manganese Boride (MnB),6.45,1890.0,0.45,15.0,11.0,,,Non,0.0,0.0,0.0,1890.0,0.0,0.0,7,0.6048322572874205
Manganese Bronze,8.3,865.0,0.38,44.0,19.0,,,Non,0.0,0.0,0.0,865.0,0.0,0.0,7,0.5360218041934427
Manganese Bronze (C86300),7.83,910.0,0.38,35.0,21.0,,,Non,0.0,0.0,0.0,910.0,0.0,0.0,7,0.5390427509146417
Manganese Diboride (MnB2),5.35,1450.0,0.65,15.0,12.5,,,Non,0.0,0.0,0.0,1450.0,0.0,0.0,7,0.5752941115690301
Manganese Ferrite (MnFe2O4),5.0,1560.0,0.58,3.2,12.5,,,Non,0.0,0.0,0.0,1560.0,0.0,0.0,7,0.5826786479986277
Manganese Metal,7.21,1246.0,0.48,7.8,21.7,,,Non,0.0,0.0,0.0,1246.0,0.0,0.0,7,0.5615991530995944
Manganese Oxide (MnO),5.37,1650.0,0.65,8.0,13.0,,,Non,0.0,0.0,0.0,1650.0,0.0,0.0,7,0.5887205414410257
Manganese Silicide,5.9,1275.0,0.48,10.0,14.5,,,Non,0.0,0.0,0.0,1275.0,0.0,0.0,7,0.5635459854310338
Manganese Silicide (MnSi),5.9,1275.0,0.48,10.0,14.5,,,Non,0.0,0.0,0.0,1275.0,0.0,0.0,7,0.5635459854310338
Manganese Stannate (MnSnO3),6.25,1600.0,0.5,2.5,12.5,,,Non,0.0,0.0,0.0,1600.0,0.0,0.0,7,0.5853639339730269
Manganese Titanate (MnTiO3),4.55,1400.0,0.6,3.5,11.5,,,Non,0.0,0.0,0.0,1400.0,0.0,0.0,7,0.5719375041010312
Manganese(II) Carbonate,3.12,,0.65,1.8,22.0,,,Non,0.0,0.0,0.0,300.0,0.0,0.0,6,0.559232251859126
Manganese(II) Oxide,5.37,1650.0,0.65,8.5,13.0,,,Non,0.0,0.0,0.0,1650.0,0.0,0.0,7,0.5887205414410257
Manganese(IV) Oxide,5.02,535.0,0.65,0.6,12.5,,,Non,0.0,0.0,0.0,535.0,0.0,0.0,7,0.5138681949046499
Manganin,8.4,960.0,0.41,22.0,18.0,,,Non,0.0,0.0,0.0,960.0,0.0,0.0,7,0.5423993583826406
Mar-M 247,8.54,1315.0,0.43,12.2,12.5,,,Non,0.0,0.0,0.0,1315.0,0.0,0.0,7,0.566231271405433
Maraging Steel 250,8.0,1413.0,0.45,21.0,10.1,,,Non,0.0,0.0,0.0,1413.0,0.0,0.0,7,0.5728102220427108
Maraging Steel 300,8.1,1413.0,0.45,20.0,10.3,,,Non,0.0,0.0,0.0,1413.0,0.0,0.0,7,0.5728102220427108
Maraging Steel 350,8.1,1413.0,0.45,19.0,10.5,,,Non,0.0,0.0,0.0,1413.0,0.0,0.0,7,0.5728102220427108
Marble (Calcitic),2.71,,0.8,2.8,11.0,,,Non,0.0,0.0,0.0,825.0,0.0,0.0,6,0.579805964532533
Melamine (Cellulose Filled),1.5,,1.5,0.35,35.0,540.0,570.0,V-0,40.0,5.0,52.0,310.0,14.5,5.0,8,0.6697773458524403
Melamine Foam,0.01,,1.4,0.03,30.0,550.0,580.0,V-0,35.0,27.5,45.0,300.0,18.0,10.0,8,0.6606933377867715
Melamine Resin,1.5,,1.2,0.3,40.0,,,V-0,35.0,100.0,45.0,350.0,18.0,15.0,6,0.6090465867192904
Melamine-Formaldehyde,1.55,,1.5,0.4,25.0,550.0,580.0,V-0,45.0,5.0,55.0,300.0,14.0,5.0,8,0.679294568207321
Melamine-Formaldehyde (Mineral Filled),1.85,,1.2,0.5,25.0,550.0,580.0,V-0,48.0,5.0,60.0,320.0,13.0,5.0,8,0.6846872228289675
Mendelevium Boride (MdB4),8.55,1700.0,0.2,4.0,17.5,,,Non,0.0,0.0,0.0,1700.0,0.0,0.0,7,0.5920771489090246
Mercury (Metal),13.53,-39.0,0.14,8.0,60.0,,,Non,0.0,0.0,0.0,357.0,0.0,0.0,7,0.48863587622291077
Mercury Fulminate,4.42,,0.4,0.12,,,180.0,,,1000.0,0.0,180.0,1.5,,5,0.32352950827802873
Mercury Silicide,12.5,,0.15,5.0,25.5,,,Non,0.0,0.0,0.0,-50.0,0.0,0.0,6,0.5455164434101879
Mercury(I) Chloride,7.15,523.0,0.15,1.0,45.0,,,Non,0.0,0.0,0.0,523.0,0.0,0.0,7,0.5130626091123301
Mercury(II) Chloride,5.44,277.0,0.18,0.8,50.0,,,Non,0.0,0.0,0.0,277.0,0.0,0.0,7,0.4965481003697755
Mercury(II) Iodide (Red),6.36,259.0,0.15,0.6,55.0,,,Non,0.0,0.0,0.0,259.0,0.0,0.0,7,0.49533972168129586
Methane,0.0007,-182.0,2.2,0.03,-188.0,537.0,,,,0.0,,50.0,,,4,0.45613913469419765
Methanol,0.79,-98.0,2.5,0.2,11.0,385.0,,,,0.0,,20.0,,,4,0.42005021017509725
Methanol Fuel (M100),0.79,-98.0,2.53,0.2,,11.0,385.0,HB,17.0,350.0,0.0,65.0,20.0,250.0,9,0.38074627452786547
Methyl Acetate,0.93,-98.0,1.95,0.16,-10.0,454.0,,,,0.0,,19.5,,,4,0.4378410670908767
Methyl Acrylate,0.95,-75.0,2.1,0.15,-3.0,463.0,,,,5.0,,25.5,,,4,0.4407193245935161
Methyl Ethyl Ketone,0.81,-86.0,2.2,0.15,-9.0,404.0,,,,0.0,,31.5,,,4,0.4263376190869404
Methyl Ethyl Ketone Peroxide,1.17,,1.6,0.18,,,,,,100.0,5.0,110.0,25.0,,4,0.5527413867549111
Methyl Methacrylate,0.94,-48.0,1.9,0.19,10.0,421.0,,,,5.0,,26.5,,,4,0.43151587827130544
Methyl Nitrate,1.21,-80.0,1.7,0.18,,2.0,,HB,18.0,,0.0,65.0,11.5,,6,0.3098796909113764
Methyl t-Butyl Ether,0.74,-109.0,2.15,0.14,-28.0,435.0,,,,0.0,,35.2,,,4,0.43321122878910856
Microporous Insulation,0.35,1000.0,0.9,0.02,3.0,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0,7,0.5450846443570397
Mineral Fiber Blanket,0.08,1100.0,0.85,0.04,,,,Non,0.0,0.0,0.0,1100.0,0.0,0.0,7,0.5517978592930376
Mineral Wool,0.15,1100.0,0.85,0.04,0.0,,,Non,0.0,0.0,0.0,1100.0,0.0,0.0,7,0.5517978592930376
Mineral Wool (Rockwool),0.1,,0.85,0.03,6.0,,,Non,0.0,0.0,0.0,1100.0,0.0,0.0,6,0.5905826711709842
Mineral Wool Blanket,0.08,1100.0,0.85,0.035,0.0,,,Non,0.0,0.0,0.0,1100.0,0.0,0.0,7,0.5517978592930376
Mo-0.5Ti,10.2,2620.0,0.25,130.0,5.1,,,Non,0.0,0.0,0.0,2620.0,0.0,0.0,7,0.6538387263202047
Mo-30W,13.0,2830.0,0.21,145.0,5.0,,,Non,0.0,0.0,0.0,2830.0,0.0,0.0,7,0.6679364776858001
Mo-Ti-Zr (TZM),10.2,2617.0,0.25,126.0,5.3,,,Non,0.0,0.0,0.0,2617.0,0.0,0.0,7,0.6536373298721248
Molybdenum,10.2,2623.0,0.25,138.0,4.8,,,Non,0.0,0.0,0.0,2623.0,0.0,0.0,7,0.6540401227682846
Molybdenum (Pure),10.2,2623.0,0.25,138.0,4.8,,,Non,0.0,0.0,0.0,2623.0,0.0,0.0,7,0.6540401227682846
Molybdenum Boride (MoB2),7.12,2280.0,0.28,25.0,8.8,,,Non,0.0,0.0,0.0,2280.0,0.0,0.0,7,0.631013795537812
Molybdenum Carbide,8.9,2687.0,0.22,22.0,5.2,,,Non,0.0,0.0,0.0,2687.0,0.0,0.0,7,0.6583365803273232
Molybdenum Diboride (MoB2),7.12,2280.0,0.35,25.0,8.2,,,Non,0.0,0.0,0.0,2280.0,0.0,0.0,7,0.631013795537812
Molybdenum Disilicide,6.24,2030.0,0.35,50.0,8.1,,,Non,0.0,0.0,0.0,2030.0,0.0,0.0,7,0.6142307581978175
Molybdenum Disilicide (MoSi2),6.26,2030.0,0.42,50.0,8.2,,,Non,0.0,0.0,0.0,2030.0,0.0,0.0,7,0.6142307581978175
Molybdenum Disulfide,5.06,1185.0,0.4,18.0,9.0,,,Non,0.0,0.0,0.0,1185.0,0.0,0.0,7,0.5575040919886358
Molybdenum Fiber,10.2,2620.0,0.25,138.0,4.8,,,Non,0.0,0.0,0.0,2620.0,0.0,0.0,7,0.6538387263202047
Molybdenum Silicide,8.95,2020.0,0.28,35.0,8.8,,,Non,0.0,0.0,0.0,2020.0,0.0,0.0,7,0.6135594367042178
Molybdenum Silicide (Mo3Si),8.95,2020.0,0.28,35.0,8.8,,,Non,0.0,0.0,0.0,2020.0,0.0,0.0,7,0.6135594367042178
Molybdenum-Lanthanum (MoLa),10.2,2620.0,0.25,125.0,5.4,,,Non,0.0,0.0,0.0,2620.0,0.0,0.0,7,0.6538387263202047
Molybdenum-Rhenium Alloy,13.5,2550.0,0.2,85.0,5.5,,,Non,0.0,0.0,0.0,2550.0,0.0,0.0,7,0.6491394758650062
Monel 400,8.8,1325.0,0.43,21.8,13.9,,,Non,0.0,0.0,0.0,1325.0,0.0,0.0,7,0.5669025928990328
Monel K-500,8.44,1315.0,0.42,17.0,13.7,,,Non,0.0,0.0,0.0,1315.0,0.0,0.0,7,0.566231271405433
Monel R-405,8.8,1300.0,0.43,21.8,13.7,,,Non,0.0,0.0,0.0,1300.0,0.0,0.0,7,0.5652242891650333
Mortar (Type M),2.05,,0.85,1.1,10.0,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0,6,0.5945014735849665
Mullite,2.8,1840.0,0.775,3.75,5.15,,,Non,0.0,0.0,0.0,1840.0,0.0,0.0,7,0.6014756498194217
Mullite (Ceramic),2.8,1840.0,0.8,4.0,5.0,,,Non,0.0,0.0,0.0,1840.0,0.0,0.0,7,0.6014756498194217
Multimet N-155,8.2,1320.0,0.45,11.0,15.0,,,Non,0.0,0.0,0.0,1320.0,0.0,0.0,7,0.5665669321522329
Naphthalene,1.16,80.0,1.35,0.15,79.0,526.0,,,,25.0,218.0,40.2,,,5,0.4992604986791321
Natural Gas (LNG),0.45,-182.0,2.2,0.03,,-188.0,537.0,HB,13.0,,0.0,-162.0,50.0,,7,0.31311846241977526
Natural Rubber (Isoprene),0.92,,2.0,0.15,250.0,,300.0,HB,17.0,600.0,5.0,220.0,44.0,300.0,7,0.38625636637180333
Natural Rubber (NR),0.93,,1.9,0.14,220.0,280.0,350.0,HB,17.0,200.0,5.0,280.0,44.0,220.0,8,0.48274482756393045
Naval Brass,8.41,900.0,0.38,116.0,21.2,,,Non,0.0,0.0,0.0,900.0,0.0,0.0,7,0.5383714294210419
Neodymium (Pure),7.01,1021.0,0.19,16.0,9.6,,,Non,0.0,0.0,0.0,1021.0,0.0,0.0,7,0.5464944194935993
Neodymium Boride (NdB6),4.95,2150.0,0.52,35.0,7.8,,,Non,0.0,0.0,0.0,2150.0,0.0,0.0,7,0.6222866161210149
Neodymium Hexaboride (NdB6),4.92,2215.0,0.55,38.0,7.2,,,Non,0.0,0.0,0.0,2215.0,0.0,0.0,7,0.6266502058294134
Neodymium Hydride,6.95,1000.0,0.3,5.2,11.0,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0,7,0.5450846443570397
Neodymium Iron Boron,7.5,1100.0,0.45,8.0,4.0,,,Non,0.0,0.0,0.0,1100.0,0.0,0.0,7,0.5517978592930376
Neodymium Oxide (Nd2O3),7.24,2270.0,0.35,15.0,10.1,,,Non,0.0,0.0,0.0,2270.0,0.0,0.0,7,0.6303424740442123
Neodymium Silicide,6.45,1450.0,0.3,10.0,11.5,,,Non,0.0,0.0,0.0,1450.0,0.0,0.0,7,0.5752941115690301
Neodymium Zirconate (Nd2Zr2O7),6.25,2350.0,0.4,1.4,9.5,,,Non,0.0,0.0,0.0,2350.0,0.0,0.0,7,0.6357130459930105
Neoprene (CR),1.25,,1.8,0.19,190.0,320.0,400.0,V-2,26.0,200.0,25.0,280.0,25.0,100.0,8,0.542777214462089
Neoprene (Chloroprene),1.25,,1.6,0.19,180.0,,400.0,V-2,26.0,500.0,25.0,260.0,25.0,120.0,7,0.4899768157031365
Ni-Span-C 902,8.05,1450.0,0.5,11.5,7.5,,,Non,0.0,0.0,0.0,1450.0,0.0,0.0,7,0.5752941115690301
Nichrome,8.4,1400.0,0.45,11.3,14.0,,,Non,0.0,0.0,0.0,1400.0,0.0,0.0,7,0.5719375041010312
Nickel (200),8.89,1453.0,0.44,70.0,13.3,,,Non,0.0,0.0,0.0,1453.0,0.0,0.0,7,0.57549550801711
Nickel (Hastelloy C276),8.89,1370.0,0.43,10.2,11.2,,,Non,0.0,0.0,0.0,1370.0,0.0,0.0,7,0.5699235396202318
Nickel (Inconel 625),8.44,1350.0,0.41,9.8,12.8,,,Non,0.0,0.0,0.0,1350.0,0.0,0.0,7,0.5685808966330322
Nickel (Inconel 718),8.19,1300.0,0.43,11.4,13.0,,,Non,0.0,0.0,0.0,1300.0,0.0,0.0,7,0.5652242891650333
Nickel (Monel 400),8.8,1350.0,0.43,21.8,13.9,,,Non,0.0,0.0,0.0,1350.0,0.0,0.0,7,0.5685808966330322
Nickel 200,8.89,1440.0,0.45,70.0,13.3,,,Non,0.0,0.0,0.0,1440.0,0.0,0.0,7,0.5746227900754303
Nickel Alumino Silicate,5.2,1850.0,0.5,8.0,8.5,,,Non,0.0,0.0,0.0,1850.0,0.0,0.0,7,0.6021469713130214
Nickel Boride (NiB),7.39,1034.0,0.4,25.0,14.5,,,Non,0.0,0.0,0.0,1034.0,0.0,0.0,7,0.547367137435279
Nickel Diboride (NiB2),7.15,1350.0,0.52,18.0,13.5,,,Non,0.0,0.0,0.0,1350.0,0.0,0.0,7,0.5685808966330322
Nickel Ferrite (NiFe2O4),5.38,1660.0,0.55,4.0,11.5,,,Non,0.0,0.0,0.0,1660.0,0.0,0.0,7,0.5893918629346254
Nickel Fiber,8.9,1455.0,0.44,90.0,13.0,,,Non,0.0,0.0,0.0,1455.0,0.0,0.0,7,0.57562977231583
