Material Name,Density (g/cc),Melting Point (°C),Specific Heat (J/g-°C),Thermal Cond. (W/m-K),CTE (µm/m-°C),Flash Point (°C),Autoignition Temp (°C),UL94 Flammability,Limiting Oxygen Index (%),Smoke Density (Ds),Char Yield (%),Decomp. Temp (°C),Heat of Combustion (MJ/kg),Flame Spread Index
Microporous Insulation,0.35,1000.0,0.9,0.02,3.0,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0
Mineral Fiber Blanket,0.08,1100.0,0.85,0.04,,,,Non,0.0,0.0,0.0,1100.0,0.0,0.0
Mineral Wool,0.15,1100.0,0.85,0.04,0.0,,,Non,0.0,0.0,0.0,1100.0,0.0,0.0
Mineral Wool (Rockwool),0.1,,0.85,0.03,6.0,,,Non,0.0,0.0,0.0,1100.0,0.0,0.0
Mineral Wool Blanket,0.08,1100.0,0.85,0.035,0.0,,,Non,0.0,0.0,0.0,1100.0,0.0,0.0
Mo-0.5Ti,10.2,2620.0,0.25,130.0,5.1,,,Non,0.0,0.0,0.0,2620.0,0.0,0.0
Mo-30W,13.0,2830.0,0.21,145.0,5.0,,,Non,0.0,0.0,0.0,2830.0,0.0,0.0
Mo-Ti-Zr (TZM),10.2,2617.0,0.25,126.0,5.3,,,Non,0.0,0.0,0.0,2617.0,0.0,0.0
Molybdenum,10.2,2623.0,0.25,138.0,4.8,,,Non,0.0,0.0,0.0,2623.0,0.0,0.0
Molybdenum (Pure),10.2,2623.0,0.25,138.0,4.8,,,Non,0.0,0.0,0.0,2623.0,0.0,0.0
Molybdenum Boride (MoB2),7.12,2280.0,0.28,25.0,8.8,,,Non,0.0,0.0,0.0,2280.0,0.0,0.0
Molybdenum Carbide,8.9,2687.0,0.22,22.0,5.2,,,Non,0.0,0.0,0.0,2687.0,0.0,0.0
Molybdenum Diboride (MoB2),7.12,2280.0,0.35,25.0,8.2,,,Non,0.0,0.0,0.0,2280.0,0.0,0.0
Molybdenum Disilicide,6.24,2030.0,0.35,50.0,8.1,,,Non,0.0,0.0,0.0,2030.0,0.0,0.0
Molybdenum Disilicide (MoSi2),6.26,2030.0,0.42,50.0,8.2,,,Non,0.0,0.0,0.0,2030.0,0.0,0.0
Molybdenum Disulfide,5.06,1185.0,0.4,18.0,9.0,,,Non,0.0,0.0,0.0,1185.0,0.0,0.0
Molybdenum Fiber,10.2,2620.0,0.25,138.0,4.8,,,Non,0.0,0.0,0.0,2620.0,0.0,0.0
Molybdenum Silicide,8.95,2020.0,0.28,35.0,8.8,,,Non,0.0,0.0,0.0,2020.0,0.0,0.0
Molybdenum Silicide (Mo3Si),8.95,2020.0,0.28,35.0,8.8,,,Non,0.0,0.0,0.0,2020.0,0.0,0.0
Molybdenum-Lanthanum (MoLa),10.2,2620.0,0.25,125.0,5.4,,,Non,0.0,0.0,0.0,2620.0,0.0,0.0
Molybdenum-Rhenium Alloy,13.5,2550.0,0.2,85.0,5.5,,,Non,0.0,0.0,0.0,2550.0,0.0,0.0
Monel 400,8.8,1325.0,0.43,21.8,13.9,,,Non,0.0,0.0,0.0,1325.0,0.0,0.0
Monel K-500,8.44,1315.0,0.42,17.0,13.7,,,Non,0.0,0.0,0.0,1315.0,0.0,0.0
Monel R-405,8.8,1300.0,0.43,21.8,13.7,,,Non,0.0,0.0,0.0,1300.0,0.0,0.0
Mortar (Type M),2.05,,0.85,1.1,10.0,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0
Mullite,2.8,1840.0,0.775,3.75,5.15,,,Non,0.0,0.0,0.0,1840.0,0.0,0.0
Mullite (Ceramic),2.8,1840.0,0.8,4.0,5.0,,,Non,0.0,0.0,0.0,1840.0,0.0,0.0
Multimet N-155,8.2,1320.0,0.45,11.0,15.0,,,Non,0.0,0.0,0.0,1320.0,0.0,0.0
Naphthalene,1.16,80.0,1.35,0.15,79.0,526.0,,,,25.0,218.0,40.2,,
Natural Gas (LNG),0.45,-182.0,2.2,0.03,,-188.0,537.0,HB,13.0,,0.0,-162.0,50.0,
Natural Rubber (Isoprene),0.92,,2.0,0.15,250.0,,300.0,HB,17.0,600.0,5.0,220.0,44.0,300.0
Natural Rubber (NR),0.93,,1.9,0.14,220.0,280.0,350.0,HB,17.0,200.0,5.0,280.0,44.0,220.0
Naval Brass,8.41,900.0,0.38,116.0,21.2,,,Non,0.0,0.0,0.0,900.0,0.0,0.0
Neodymium (Pure),7.01,1021.0,0.19,16.0,9.6,,,Non,0.0,0.0,0.0,1021.0,0.0,0.0
Neodymium Boride (NdB6),4.95,2150.0,0.52,35.0,7.8,,,Non,0.0,0.0,0.0,2150.0,0.0,0.0
Neodymium Hexaboride (NdB6),4.92,2215.0,0.55,38.0,7.2,,,Non,0.0,0.0,0.0,2215.0,0.0,0.0
Neodymium Hydride,6.95,1000.0,0.3,5.2,11.0,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0
Neodymium Iron Boron,7.5,1100.0,0.45,8.0,4.0,,,Non,0.0,0.0,0.0,1100.0,0.0,0.0
Neodymium Oxide (Nd2O3),7.24,2270.0,0.35,15.0,10.1,,,Non,0.0,0.0,0.0,2270.0,0.0,0.0
Neodymium Silicide,6.45,1450.0,0.3,10.0,11.5,,,Non,0.0,0.0,0.0,1450.0,0.0,0.0
Neodymium Zirconate (Nd2Zr2O7),6.25,2350.0,0.4,1.4,9.5,,,Non,0.0,0.0,0.0,2350.0,0.0,0.0
Neon (Liquid),1.21,-248.0,1.03,0.12,,,,,,0.0,,0.0,,
Neoprene (CR),1.25,,1.8,0.19,190.0,320.0,400.0,V-2,26.0,200.0,25.0,280.0,25.0,100.0
Neoprene (Chloroprene),1.25,,1.6,0.19,180.0,,400.0,V-2,26.0,500.0,25.0,260.0,25.0,120.0
Ni-Span-C 902,8.05,1450.0,0.5,11.5,7.5,,,Non,0.0,0.0,0.0,1450.0,0.0,0.0
Nichrome,8.4,1400.0,0.45,11.3,14.0,,,Non,0.0,0.0,0.0,1400.0,0.0,0.0
Nickel (200),8.89,1453.0,0.44,70.0,13.3,,,Non,0.0,0.0,0.0,1453.0,0.0,0.0
Nickel (Hastelloy C276),8.89,1370.0,0.43,10.2,11.2,,,Non,0.0,0.0,0.0,1370.0,0.0,0.0
Nickel (Inconel 625),8.44,1350.0,0.41,9.8,12.8,,,Non,0.0,0.0,0.0,1350.0,0.0,0.0
Nickel (Inconel 718),8.19,1300.0,0.43,11.4,13.0,,,Non,0.0,0.0,0.0,1300.0,0.0,0.0
Nickel (Monel 400),8.8,1350.0,0.43,21.8,13.9,,,Non,0.0,0.0,0.0,1350.0,0.0,0.0
Nickel 200,8.89,1440.0,0.45,70.0,13.3,,,Non,0.0,0.0,0.0,1440.0,0.0,0.0
Nickel Alumino Silicate,5.2,1850.0,0.5,8.0,8.5,,,Non,0.0,0.0,0.0,1850.0,0.0,0.0
Nickel Boride (NiB),7.39,1034.0,0.4,25.0,14.5,,,Non,0.0,0.0,0.0,1034.0,0.0,0.0
Nickel Diboride (NiB2),7.15,1350.0,0.52,18.0,13.5,,,Non,0.0,0.0,0.0,1350.0,0.0,0.0
Nickel Ferrite (NiFe2O4),5.38,1660.0,0.55,4.0,11.5,,,Non,0.0,0.0,0.0,1660.0,0.0,0.0
Nickel Fiber,8.9,1455.0,0.44,90.0,13.0,,,Non,0.0,0.0,0.0,1455.0,0.0,0.0
Nickel Foam,1.2,1455.0,0.44,15.0,13.0,,,Non,0.0,0.0,0.0,1455.0,0.0,0.0
Nickel Monoxide (NiO),6.67,1955.0,0.52,10.5,12.5,,,Non,0.0,0.0,0.0,1955.0,0.0,0.0
Nickel Oxide (NiO),6.67,1955.0,0.52,10.0,12.5,,,Non,0.0,0.0,0.0,1955.0,0.0,0.0
Nickel Silicide,7.4,1287.0,0.44,25.0,14.5,,,Non,0.0,0.0,0.0,1287.0,0.0,0.0
Nickel Silicide (Ni2Si),7.4,1287.0,0.44,25.0,14.5,,,Non,0.0,0.0,0.0,1287.0,0.0,0.0
Nickel Silver (C75200),8.73,1070.0,0.38,33.0,16.2,,,Non,0.0,0.0,0.0,1070.0,0.0,0.0
Nickel Silver (C77000),8.58,1040.0,0.38,29.0,16.7,,,Non,0.0,0.0,0.0,1040.0,0.0,0.0
Nickel Stannate (NiSnO3),6.85,1750.0,0.45,3.0,11.0,,,Non,0.0,0.0,0.0,1750.0,0.0,0.0
Nickel Titanate (NiTiO3),5.15,1600.0,0.55,4.0,10.0,,,Non,0.0,0.0,0.0,1600.0,0.0,0.0
Nickel(II) Bromide,5.1,963.0,0.35,2.0,15.0,,,Non,0.0,0.0,0.0,963.0,0.0,0.0
Nickel(II) Carbonate,4.39,,0.45,1.2,18.0,,,Non,0.0,0.0,0.0,200.0,0.0,0.0
Nickel(II) Chloride,3.55,1001.0,0.45,2.5,13.0,,,Non,0.0,0.0,0.0,1001.0,0.0,0.0
Nickel(II) Iodide,5.83,797.0,0.25,1.8,18.0,,,Non,0.0,0.0,0.0,797.0,0.0,0.0
Nickel-Aluminum (Ni3Al),7.5,1385.0,0.45,25.0,12.5,,,Non,0.0,0.0,0.0,1385.0,0.0,0.0
Nickel-Aluminum Bronze (C95800),7.64,1045.0,0.44,42.0,16.2,,,Non,0.0,0.0,0.0,1045.0,0.0,0.0
Nickel-Chromium Iron,8.44,1300.0,0.43,11.4,13.0,,,Non,0.0,0.0,0.0,1300.0,0.0,0.0
Nickel-Copper (Monel),8.8,1325.0,0.43,21.8,13.9,,,Non,0.0,0.0,0.0,1325.0,0.0,0.0
Nickel-Moly (Hastelloy),8.9,1370.0,0.42,10.2,11.2,,,Non,0.0,0.0,0.0,1370.0,0.0,0.0
Nicrofer 602 CA,7.95,1350.0,0.45,12.0,14.5,,,Non,0.0,0.0,0.0,1350.0,0.0,0.0
Nimonic 105,8.01,1310.0,0.45,10.5,13.0,,,Non,0.0,0.0,0.0,1310.0,0.0,0.0
Nimonic 115,7.85,1305.0,0.46,10.0,13.4,,,Non,0.0,0.0,0.0,1305.0,0.0,0.0
Nimonic 75,8.37,1340.0,0.46,11.7,12.2,,,Non,0.0,0.0,0.0,1340.0,0.0,0.0
Nimonic 80A,8.19,1320.0,0.45,11.0,12.7,,,Non,0.0,0.0,0.0,1320.0,0.0,0.0
Nimonic 90,8.18,1310.0,0.44,11.0,12.7,,,Non,0.0,0.0,0.0,1310.0,0.0,0.0
Niobium,8.57,2477.0,0.26,53.0,7.3,,,Non,0.0,0.0,0.0,2477.0,0.0,0.0
Niobium (C-103),8.85,2350.0,0.27,45.0,7.1,,,Non,0.0,0.0,0.0,2350.0,0.0,0.0
Niobium Boride (NbB2),6.97,3000.0,0.3,18.0,8.2,,,Non,0.0,0.0,0.0,3000.0,0.0,0.0
Niobium Carbide,7.8100000000000005,3500.0,0.32499999999999996,14.0,6.65,,,Non,0.0,0.0,0.0,3500.0,0.0,0.0
Niobium Diboride (NbB2),6.97,3000.0,0.38,20.0,8.2,,,Non,0.0,0.0,0.0,3000.0,0.0,0.0
Niobium Hydride,7.7,1000.0,0.3,12.0,8.5,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0
Niobium Pentoxide,4.6,1512.0,0.55,1.5,5.8,,,Non,0.0,0.0,0.0,1512.0,0.0,0.0
Niobium Silicide,7.15,2484.0,0.32,15.0,8.2,,,Non,0.0,0.0,0.0,2484.0,0.0,0.0
Niobium Silicide (Nb5Si3),7.15,2484.0,0.32,15.0,8.2,,,Non,0.0,0.0,0.0,2484.0,0.0,0.0
Niobium-1% Zirconium,8.59,2410.0,0.27,52.0,7.2,,,Non,0.0,0.0,0.0,2410.0,0.0,0.0
Niobium-Hafnium (C103),8.85,2350.0,0.27,45.0,7.1,,,Non,0.0,0.0,0.0,2350.0,0.0,0.0
Niobium-Titanium (Superconductor),6.02,1870.0,0.45,15.0,8.5,,,Non,0.0,0.0,0.0,1870.0,0.0,0.0
Niobium-Zirconium (Nb-1Zr),8.6,2410.0,0.27,52.0,7.2,,,Non,0.0,0.0,0.0,2410.0,0.0,0.0
Nitric Acid,1.51,-42.0,1.75,0.3,,,,,,0.0,83.0,0.0,,
Nitric Oxide,0.001,-164.0,1.0,0.03,,,,,,0.0,-151.0,0.0,,
Nitrile (NBR) Sponge,0.2,,1.9,0.05,,,380.0,HB,18.0,600.0,10.0,250.0,35.0,250.0
Nitrile Rubber (NBR),1.125,,1.9249999999999998,0.25,210.0,300.0,380.0,HB,18.0,425.0,10.0,250.0,36.0,215.0
Nitrobenzene,1.2,6.0,1.45,0.16,88.0,482.0,,,,15.0,210.0,25.5,,
Nitrocellulose,1.65,,1.45,0.2,,,170.0,,,1000.0,5.0,180.0,10.0,
Nitroethane,1.05,-50.0,1.85,0.17,,28.0,414.0,HB,19.0,,0.0,114.0,15.5,
Nitrogen,0.001,-210.0,1.04,0.03,,,,,,0.0,-196.0,0.0,,
Nitrogen Dioxide,1.45,-11.0,1.0,0.15,,,,,,0.0,21.0,0.0,,
Nitroguanidine,1.77,232.0,1.2,0.25,,,,,,100.0,20.0,232.0,8.5,
Nitromethane,1.14,-29.0,1.75,0.18,,35.0,418.0,HB,20.0,,0.0,101.0,11.3,
Nitronic 60,7.6,1350.0,0.5,16.0,15.5,,,Non,0.0,0.0,0.0,1350.0,0.0,0.0
Nitrous Oxide,0.002,-91.0,0.88,0.02,,,,,,0.0,-88.0,0.0,,
Nobelium Boride (NoB4),8.45,1600.0,0.2,3.0,18.5,,,Non,0.0,0.0,0.0,1600.0,0.0,0.0
Nomex,1.38,,1.2,0.13,20.0,,520.0,V-0,30.0,15.0,40.0,430.0,25.0,10.0
Nomex (Aramid),1.38,,1.2,0.13,20.0,,520.0,V-0,30.0,20.0,40.0,430.0,25.0,10.0
Nonane,0.72,-53.0,2.2,0.14,31.0,205.0,,,,0.0,,44.4,,
Nylon 6 (30% Glass Reinforced),1.36,220.0,1.4,0.32,28.0,400.0,430.0,HB,23.5,45.0,22.0,410.0,29.0,75.0
Nylon 6 (Impact Mod),1.1,220.0,1.8,0.22,95.0,380.0,410.0,HB,20.0,45.0,8.0,390.0,32.0,90.0
Nylon 6 Fiber,1.14,220.0,1.7,0.25,20.0,390.0,420.0,HB,21.0,50.0,10.0,400.0,31.0,90.0
Nylon 612,1.06,212.0,1.7,0.22,90.0,385.0,415.0,HB,18.5,40.0,8.0,390.0,34.0,90.0
Nylon 66 (MoS2 Filled),1.15,263.0,1.65,0.26,80.0,400.0,450.0,HB,24.0,35.0,18.0,410.0,32.0,70.0
Nylon 66 (PA66),1.14,263.0,1.67,0.25,80.0,400.0,450.0,V-2,24.0,30.0,15.0,410.0,32.0,60.0
Nylon Carpet Fiber,1.14,260.0,1.7,0.25,90.0,,520.0,HB,21.0,300.0,10.0,400.0,32.0,150.0
OSB (Oriented Strand Board),0.64,,1.6,0.12,4.5,240.0,350.0,HB,25.0,85.0,25.0,270.0,19.0,150.0
Obsidian,2.4,1100.0,0.8,1.5,5.0,,,Non,0.0,0.0,0.0,1100.0,0.0,0.0
Octane (n),0.7,-57.0,2.2,0.13,13.0,206.0,,,,0.0,,44.5,,
Oleic Acid,0.89,13.0,2.0,0.15,,189.0,363.0,HB,16.0,650.0,2.0,260.0,39.0,400.0
Olive Oil,0.91,,1.95,0.17,,225.0,343.0,HB,16.0,680.0,3.0,290.0,39.5,380.0
Osmium (Pure),22.6,3033.0,0.13,87.0,5.1,,,Non,0.0,0.0,0.0,3033.0,0.0,0.0
Osmium Metal,22.6,3033.0,0.13,87.0,5.1,,,Non,0.0,0.0,0.0,3033.0,0.0,0.0
Osmium Silicide,13.5,1800.0,0.18,15.0,6.2,,,Non,0.0,0.0,0.0,1800.0,0.0,0.0
Oxygen,0.001,-218.0,0.92,0.03,,,,,,0.0,-183.0,0.0,,
PAEK (Polymer Vic),1.3,340.0,1.3,0.24,45.0,560.0,590.0,V-0,36.0,12.0,52.0,570.0,29.0,10.0
PAI (Torlon 4203),1.42,275.0,1.0,0.26,31.0,560.0,600.0,V-0,43.0,10.0,55.0,520.0,24.5,5.0
PBI (Polybenzimidazole),1.3,,1.4,0.4,23.0,,620.0,V-0,58.0,2.0,75.0,550.0,22.0,0.0
PBO Fiber (Zylon),1.56,,1.1,0.05,-6.0,,650.0,V-0,68.0,5.0,70.0,650.0,20.0,0.0
PBT (30% Glass Reinforced),1.53,223.0,1.15,0.26,25.0,365.0,425.0,HB,21.0,50.0,18.0,390.0,24.5,110.0
PBT (Valox 310),1.31,223.0,1.25,0.21,80.0,360.0,420.0,HB,20.0,55.0,12.0,380.0,25.5,120.0
PCTFE (Kel-F),2.13,213.0,0.9,0.2,70.0,500.0,515.0,V-0,95.0,5.0,0.0,480.0,6.0,5.0
PEEK (30% Glass),1.5,343.0,1.2,0.43,22.0,575.0,600.0,V-0,38.0,12.0,55.0,580.0,27.0,8.0
PEEK (450CA30),1.44,343.0,1.1,0.95,18.0,575.0,600.0,V-0,40.0,10.0,55.0,580.0,27.5,5.0
PEEK (Bearing Grade),1.45,343.0,1.15,0.6,25.0,570.0,595.0,V-0,35.0,15.0,50.0,575.0,28.0,10.0
PEEK (Victrex 450G),1.31,343.0,1.34,0.25,47.0,570.0,595.0,V-0,35.0,10.0,50.0,575.0,28.4,10.0
PEI (30% Glass Reinforced),1.51,217.0,1.05,0.25,20.0,535.0,545.0,V-0,50.0,5.0,58.0,520.0,25.0,5.0
PEI (Bearing Grade),1.45,215.0,1.1,0.4,25.0,535.0,540.0,V-0,47.0,8.0,52.0,510.0,26.0,5.0
PEI (Carbon Filled),1.4,215.0,1.1,0.45,15.0,540.0,550.0,V-0,52.0,5.0,60.0,520.0,25.0,5.0
PEK (Polyetherketone),1.3,373.0,1.32,0.24,40.0,580.0,600.0,V-0,36.0,10.0,55.0,580.0,29.0,5.0
PEKK (Kepstan),1.31,305.0,1.3,0.25,42.0,575.0,595.0,V-0,40.0,8.0,58.0,585.0,28.0,5.0
PEKK (Polyetherketoneketone),1.28,305.0,1.3,0.25,42.0,575.0,595.0,V-0,40.0,8.0,58.0,585.0,28.0,5.0
PES (Radel A),1.37,225.0,1.1,0.18,55.0,510.0,550.0,V-0,38.0,15.0,40.0,530.0,24.0,10.0
PET (30% Glass Reinforced),1.56,250.0,1.1,0.29,22.0,390.0,470.0,HB,22.0,60.0,20.0,410.0,21.5,90.0
PET (Amorphous),1.34,255.0,1.15,0.24,65.0,400.0,480.0,V-2,22.0,60.0,15.0,400.0,22.0,80.0
PETN,1.77,141.0,1.15,0.25,,,190.0,,,1000.0,2.0,150.0,11.0,
PFA (Teflon PFA),2.15,305.0,1.17,0.25,120.0,520.0,530.0,V-0,95.0,3.0,0.0,500.0,5.1,5.0
PH 15-7 Mo,7.8,1425.0,0.46,16.5,10.1,,,Non,0.0,0.0,0.0,1425.0,0.0,0.0
PMMA (Acrylic),1.18,160.0,1.46,0.19,75.0,300.0,430.0,HB,17.2,70.0,0.0,300.0,26.2,160.0
PMP (Polymethylpentene),0.83,235.0,1.9,0.17,117.0,350.0,400.0,HB,17.1,25.0,0.0,360.0,44.0,160.0
PPS (40% Glass Reinforced),1.65,285.0,1.0,0.33,20.0,540.0,550.0,V-0,47.0,10.0,55.0,510.0,24.0,5.0
PPS (40% Glass),1.65,285.0,1.05,0.33,20.0,545.0,555.0,V-0,48.0,10.0,55.0,515.0,24.0,5.0
PPS (Bearing Grade),1.5,285.0,1.08,0.45,30.0,540.0,550.0,V-0,44.0,15.0,48.0,500.0,25.0,5.0
PPS (Fortron/Ryton),1.35,285.0,1.09,0.29,49.0,540.0,550.0,V-0,44.0,12.0,48.0,500.0,25.0,5.0
PPS (Ryton R-4),1.68,285.0,1.0,0.3,22.0,540.0,550.0,V-0,47.0,12.0,50.0,510.0,24.2,5.0
PPSU (Polyphenylsulfone),1.29,220.0,1.15,0.35,55.0,515.0,560.0,V-0,38.0,15.0,42.0,530.0,24.0,10.0
PSU (Glass Filled),1.49,190.0,1.0,0.3,28.0,500.0,550.0,V-0,34.0,25.0,40.0,470.0,23.0,10.0
PTFE (Bronze Filled),3.1,327.0,0.8,0.5,90.0,530.0,530.0,V-0,95.0,5.0,30.0,510.0,6.0,5.0
PTFE (Carbon Filled),2.1,327.0,0.95,0.6,80.0,530.0,530.0,V-0,95.0,8.0,45.0,510.0,7.0,5.0
PTFE (Teflon 7A),2.16,327.0,1.0,0.25,124.0,530.0,530.0,V-0,95.0,2.0,0.0,510.0,5.1,5.0
PTFE (Teflon),2.15,327.0,1.0,0.25,120.0,,530.0,V-0,95.0,5.0,5.0,550.0,5.0,2.0
PVC (Flexible/Plasticized),1.3,180.0,1.1,0.15,100.0,350.0,420.0,V-2,25.0,400.0,30.0,250.0,20.0,60.0
PVC (Rigid K-65),1.4,210.0,0.95,0.2,55.0,395.0,455.0,V-0,48.0,220.0,48.0,285.0,18.0,15.0
PVC Foam Board,0.6,,1.2,0.06,60.0,,450.0,V-0,45.0,300.0,35.0,220.0,18.0,20.0
PVC Membrane (Roofing),1.35,,1.2,0.15,80.0,,450.0,V-0,40.0,250.0,25.0,260.0,18.0,20.0
PVC Sponge (Closed Cell),0.12,,1.2,0.04,,,450.0,V-0,45.0,300.0,35.0,220.0,18.0,20.0
PVC/Acrylic Blend (Kydex),1.35,180.0,1.2,0.2,80.0,390.0,450.0,V-0,35.0,150.0,30.0,260.0,20.0,20.0
PVDF (Kynar 740),1.78,172.0,1.3,0.19,120.0,440.0,460.0,V-0,44.0,20.0,25.0,450.0,14.5,10.0
PVDF (Kynar),1.78,172.0,1.3,0.2,130.0,,,V-0,44.0,20.0,30.0,420.0,14.0,5.0
PWA 1484,8.78,1340.0,0.41,13.0,11.9,,,Non,0.0,0.0,0.0,1340.0,0.0,0.0
Palladium,12.0,1555.0,0.24,71.0,11.8,,,Non,0.0,0.0,0.0,1555.0,0.0,0.0
Palladium (95%),11.9,1500.0,0.24,70.0,11.5,,,Non,0.0,0.0,0.0,1500.0,0.0,0.0
Palladium (Pure),12.01,1555.0,0.24,71.0,11.75,,,Non,0.0,0.0,0.0,1555.0,0.0,0.0
Palladium Oxide,8.3,750.0,0.25,10.0,6.0,,,Non,0.0,0.0,0.0,750.0,0.0,0.0
Palladium Silicide,9.55,1200.0,0.25,18.0,10.5,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0
Palm Oil,0.91,35.0,2.0,0.17,,267.0,315.0,HB,16.0,680.0,4.0,280.0,39.5,380.0
Papercrete,0.65,,1.4,0.12,,,,HB,28.0,150.0,35.0,220.0,16.0,80.0
Paraffin Wax,0.9,55.0,2.9,0.25,,200.0,245.0,HB,14.0,800.0,0.0,250.0,44.0,500.0
Parchment,0.8,,1.45,0.12,,,,HB,26.0,120.0,32.0,230.0,19.0,100.0
Particle Board,0.7,,1.5,0.1,5.5,235.0,345.0,HB,25.0,100.0,26.0,260.0,19.5,170.0
Peat (Dried),0.5,,1.8,0.12,,,250.0,HB,18.0,600.0,35.0,350.0,18.0,300.0
Pebax (TPE-A),1.01,175.0,2.1,0.21,150.0,340.0,380.0,HB,17.5,100.0,5.0,320.0,35.0,140.0
Pentane (n),0.63,-130.0,2.3,0.12,-49.0,260.0,,,,0.0,,45.3,,
Peracetic Acid (40%),1.15,0.0,2.5,0.45,,41.0,,,,0.0,110.0,12.0,,
Perfluoroalkoxy (PFA Film),2.15,305.0,1.17,0.25,120.0,520.0,530.0,V-0,95.0,3.0,0.0,500.0,5.1,5.0
Perfluoroalkoxy (PFA),2.15,305.0,1.135,0.25,120.0,520.0,530.0,V-0,95.0,4.0,0.0,500.0,5.2,3.5
Perfluoroelastomer (Kalrez),2.01,,1.1,0.2,230.0,500.0,540.0,V-0,95.0,5.0,50.0,480.0,8.0,5.0
Perlite (Expanded),0.12,1250.0,0.925,0.05,8.0,,,Non,0.0,0.0,0.0,1250.0,0.0,0.0
Pewter (Tin-Antimony),7.28,240.0,0.21,30.0,23.0,,,Non,0.0,0.0,0.0,240.0,0.0,0.0
Phenol,1.07,41.0,1.45,0.18,79.0,715.0,,,,20.0,182.0,31.2,,
Phenol-Formaldehyde Glue,1.25,,1.2,0.18,40.0,,,V-0,38.0,50.0,50.0,300.0,18.0,15.0
Phenolic (Cotton Rein),1.35,,1.25,0.25,25.0,520.0,550.0,V-0,40.0,10.0,60.0,400.0,22.0,5.0
Phenolic (Molding Cmpd),1.6,,1.1,0.45,25.0,550.0,580.0,V-0,45.0,5.0,65.0,480.0,20.0,5.0
Phenolic Foam,0.06,,1.35,0.02,40.0,,580.0,V-0,35.0,50.0,45.0,350.0,24.0,15.0
Phenolic Foam (High Density),0.15,,1.2,0.03,30.0,550.0,580.0,V-0,45.0,5.0,65.0,480.0,20.0,5.0
Phenolic Foam (Insulation),0.04,,1.4,0.02,40.0,,580.0,V-0,38.0,50.0,45.0,380.0,24.0,15.0
Phenolic Resin,1.28,300.0,1.21,0.2,35.0,530.0,560.0,V-0,42.0,5.0,58.0,450.0,22.1,5.0
Phosgene,1.38,-128.0,1.0,0.12,,,,,,0.0,8.0,0.0,,
Phosphoric Acid,1.88,42.0,1.15,0.4,,,,,,0.0,213.0,0.0,,
Phosphorus (Red),2.2,,0.68,0.12,,,260.0,HB,100.0,500.0,0.0,416.0,25.0,0.0
Phosphorus (White),1.82,44.0,0.75,0.15,,,30.0,HB,100.0,800.0,0.0,280.0,25.0,0.0
Phosphorus Hydride (Phosphine),0.001,-133.0,1.05,,,,,,0.0,-87.0,22.1,,,
Phosphorus Silicide,3.55,,0.55,10.0,15.5,,,Non,0.0,0.0,0.0,750.0,0.0,0.0
Phthalic Anhydride,1.53,131.0,1.15,0.14,152.0,570.0,,,,30.0,285.0,21.5,,
Pine Tar,1.05,,1.6,0.15,,60.0,355.0,HB,17.0,650.0,15.0,300.0,35.0,350.0
Plasterboard (Fire Rated),0.95,,1.15,0.19,14.0,,,Non,0.0,0.0,0.0,150.0,0.0,0.0
Plasterboard (Moisture Resistant),0.88,,1.1,0.17,16.5,,,Non,0.0,0.0,0.0,150.0,0.0,0.0
Plasterboard (Standard),0.85,,1.09,0.16,16.0,,,Non,0.0,0.0,0.0,150.0,0.0,0.0
Platinax,15.5,1200.0,0.18,40.0,9.5,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0
Platinum,21.5,1768.0,0.13,72.0,8.8,,,Non,0.0,0.0,0.0,1768.0,0.0,0.0
Platinum (95%),21.4,1750.0,0.13,70.0,9.0,,,Non,0.0,0.0,0.0,1750.0,0.0,0.0
Platinum (Pure),21.45,1768.0,0.13,72.0,8.8,,,Non,0.0,0.0,0.0,1768.0,0.0,0.0
Platinum Silicide,14.5,1229.0,0.18,22.0,9.5,,,Non,0.0,0.0,0.0,1229.0,0.0,0.0
Platinum-Rhodium (80/20),20.0,1900.0,0.14,65.0,9.5,,,Non,0.0,0.0,0.0,1900.0,0.0,0.0
Plutonium Boride (PuB4),9.25,2400.0,0.2,18.0,10.5,,,Non,0.0,0.0,0.0,2400.0,0.0,0.0
Plutonium Dioxide (PuO2),11.46,2390.0,0.25,6.0,11.0,,,Non,0.0,0.0,0.0,2390.0,0.0,0.0
Plutonium Hydride,10.4,,0.25,6.5,15.5,,,Non,0.0,0.0,0.0,200.0,0.0,0.0
Plutonium Silicide,11.5,1500.0,0.12,8.0,13.5,,,Non,0.0,0.0,0.0,1500.0,0.0,0.0
Plywood (Exterior Grade),0.58,,1.55,0.13,4.0,250.0,360.0,HB,24.0,70.0,24.0,280.0,18.5,110.0
Polyacetal (Copolymer),1.41,165.0,1.45,0.23,110.0,325.0,375.0,HB,15.5,8.0,0.0,235.0,22.0,185.0
Polyacrylonitrile (PAN) Fiber,1.18,320.0,1.25,0.2,30.0,,480.0,HB,18.0,120.0,50.0,320.0,30.0,150.0
